Borough,Geographical  District,Admin District,ATS Code,Location Name,Grade Level,Building Code,Building Name,Address,Building Ownership Description,Room No,Area,Function,Is school co-located?,Inside v outside,Is the space shared by any other schools?,Space used for any other purpose beside PE
K,22,22,22K312,P.S. 312 Bergen Beach,Elementary,K312,P.S. 312 - Brooklyn,7103 Avenue T,DOE Owned,345,676,Dance Room,false,Inside,false,false
Q,25,25,25Q120,P.S. 120 Queens,Elementary,Q120,P.S. 120 - Queens,58-01 136 Street,DOE Owned,GYM,3850,Gymnasium,false,Inside,false,false
M,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - Manhattan,121 East 3 Street,DOE Owned,417,1500,Gymnasium,true,Inside,true,false
M,1,1,01M015,P.S. 015 Roberto Clemente,Elementary,M015,P.S. 15 - Manhattan,333 East 4 Street,DOE Owned,GYM.,3243,Gymnasium,true,Inside,true,false
M,1,1,01M015,P.S. 015 Roberto Clemente,Elementary,M015,P.S. 15 - Manhattan,333 East 4 Street,DOE Owned,Outdoor Yard 1,14953,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M019,P.S. 019 Asher Levy,Elementary,M019,P.S. 19 - Manhattan,185 1 Avenue,DOE Owned,GYM,3942,Gymnasium,true,Inside,true,false
M,1,1,01M019,P.S. 019 Asher Levy,Elementary,M019,P.S. 19 - Manhattan,185 1 Avenue,DOE Owned,Outdoor Yard 1,28121,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - Manhattan,166 Essex Street,DOE Owned,GYM,4000,Gymnasium,false,Inside,false,false
M,1,1,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - Manhattan,166 Essex Street,DOE Owned,Outdoor Yard 1,3191,Outdoor Yard,false,Outdoor,false,false
M,1,1,01M034,P.S. 034 Franklin D. Roosevelt,K-8,M034,P.S. 34 - Manhattan,730 East 12 Street,DOE Owned,124,3450,Gymnasium,false,Inside,false,false
M,1,1,01M034,P.S. 034 Franklin D. Roosevelt,K-8,M034,P.S. 34 - Manhattan,730 East 12 Street,DOE Owned,Outdoor Yard 1,27457,Outdoor Yard,false,Outdoor,false,false
M,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - Manhattan,121 East 3 Street,DOE Owned,114,728,Dance Room,true,Inside,true,false
M,3,3,03M452,P.S. 452,Elementary,M044,I.S. 44 - Manhattan,100 West 77 Street,DOE Owned,237,960,Dance Room,true,Inside,true,false
M,2,75,75M094,P.S. M094,K-8,M276,P.S./I.S. 276 - Manhattan,55 Battery Place,Tax Levy Lease,108,5040,Gymnasium,true,Inside,true,false
K,19,19,19K174,P.S. 174 Dumont,K-8,K174,P.S. 174 - Brooklyn,574 Dumont Avenue,DOE Owned,BGYM,2891,Gymnasium,true,Inside,true,false
K,13,13,13K595,Bedford Academy High School,High school,,Bedford Ymca,1121 Bedford Ave,,,,Bedford YMCA,false,Offsite,false,false
M,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - Manhattan,121 East 3 Street,DOE Owned,GYMB,1740,Gymnasium,true,Inside,true,false
M,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,B43,1344,Dance Room,true,Inside,true,false
M,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,B53,6336,Gymnasium,true,Inside,true,false
M,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,Outdoor Yard 1,13310,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,Outdoor Yard 2,14159,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M110,P.S. 110 Florence Nightingale,Elementary,M110,P.S. 110 - Manhattan,285 Delancy Street,DOE Owned,GYM,3367,Gymnasium,false,Inside,false,false
