Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
DOE expense budget funding (millions of 2017 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,
City funds (estimated),"$   6,812","$   6,527","$   6,483","$   6,495","$   6,812","$   6,504","$   6,300","$   6,174","$   6,904","$   7,267","$   8,025","$   8,077","$   7,544","$   7,892","$   8,000","$   7,709","$   8,267","$   8,735","$   8,676","$   8,723","$   8,360","$   8,882","$   10,206","$   10,024","$   10,255","$   10,232","$   10,937","$   11,128"
State aid,"$   7,695","$   7,713","$   6,945","$   7,072","$   7,023","$   7,585","$   7,331","$   7,449","$   7,671","$   7,935","$   8,305","$   8,821","$   8,860","$   8,924","$   8,451","$   8,680","$   8,988","$   9,202","$   9,941","$   10,330","$   9,369","$   9,221","$   8,965","$   8,716","$   9,027","$   9,539","$   9,912","$   10,239"
Federal aid,"$   1,530","$   1,579","$   1,665","$   1,854","$   1,822","$   1,717","$   1,734","$   1,768","$   1,856","$   1,871","$   1,933","$   2,011","$   2,187","$   2,539","$   2,592","$   2,687","$   2,493","$   2,361","$   2,216","$   2,072","$   3,438","$   3,173","$   2,141","$   2,069","$   1,825","$   1,781","$   1,776","$   1,717"
Private and non-governmental aid,$   21,$   52,$   53,$   64,$   43,$   36,$   54,$   32,$   29,$   30,$   99,$   56,$   58,$   104,$   94,$   91,$   62,$   72,$   100,$   257,$   311,$   230,$   216,$   199,$   281,$   253,$   205,$   106
Total for all funds,"16,058","15,871","15,146","15,485","15,700","15,842","15,418","15,423","16,460","17,103","18,363","18,965","18,649","19,459","19,137","19,166","19,810","20,370","20,934","21,381","21,478","21,507","21,528","21,008","21,387","21,805","22,830","23,190"
Estimated city share of DOE operations,42.4%,41.1%,42.8%,41.9%,43.4%,41.1%,40.9%,40.0%,41.9%,42.5%,43.7%,42.6%,40.5%,40.6%,41.8%,40.2%,41.7%,42.9%,41.4%,40.8%,38.9%,41.3%,47.4%,47.7%,47.9%,46.9%,47.9%,48.0%
DOE Expenditures (millions of 2017 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOE operations (all funds),"$   16,058","$   15,871","$   15,146","$   15,485","$   15,700","$   15,842","$   15,418","$   15,423","$   16,460","$   17,103","$   18,363","$   18,965","$   18,649","$   19,459","$   19,137","$   19,166","$   19,810","$   20,370","$   20,934","$   21,381","$   21,478","$   21,507","$   21,528","$   21,008","$   21,387","$   21,805","$   22,830","$   23,190"
Other expenditures (all funds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt service,$   259,$   339,$   403,$   507,$   553,$   555,$   618,$   749,$   749,$   802,$   828,$   882,$   980,$   838,"$   1,076","$   1,153","$   1,420","$   1,382","$   1,595","$   1,617","$   1,827","$   1,882","$   1,927","$   1,927","$   1,918","$   2,008","$   2,190","$   2,395"
Additional pension contributions,$   962,$   777,$   644,$   740,$   648,$   639,$   683,$   595,$   699,$   702,$   315,$   626,$   709,$   871,"$   1,234","$   1,618","$   1,668","$   2,017","$   2,336","$   2,614","$   2,847","$   2,790","$   2,983","$   3,091","$   3,163","$   3,399","$   3,767","$   3,929"
