Administrative District,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
1,2013-14,12492,985,942,927,882,947,943,858,749,848,898,725,1129,907,752,6167,49.4,6325,50.6,2868,23,2162,17.3,5110,40.9,307,2.5,2045,16.4,2585,20.7,1306,10.5,8141,65.2,No Data
2,2013-14,62741,1348,3113,3213,3031,2852,2665,2608,2406,2325,2473,9994,10030,8415,8268,32842,52.3,29899,47.7,14688,23.4,10796,17.2,21226,33.8,1731,2.8,14300,22.8,9506,15.2,6361,10.1,35468,56.5,No Data
3,2013-14,23098,860,1483,1532,1391,1457,1489,1334,1432,1371,1427,2467,2444,2310,2101,12307,53.3,10791,46.7,1809,7.8,5825,25.2,8106,35.1,691,3,6667,28.9,3634,15.7,1394,6,12307,53.3,No Data
4,2013-14,14265,1050,1027,1094,1105,1083,1067,1072,1050,1038,1076,1068,985,765,785,7322,51.3,6943,48.7,921,6.5,3815,26.7,8799,61.7,221,1.5,509,3.6,3274,23,1509,10.6,11619,81.5,No Data
5,2013-14,13150,1178,840,849,878,916,858,759,849,917,960,1233,1099,899,915,6385,48.6,6765,51.4,397,3,6920,52.6,5142,39.1,216,1.6,475,3.6,2576,19.6,1297,9.9,11069,84.2,No Data
6,2013-14,25091,1394,2007,2195,2095,2094,2117,1775,1678,1908,2038,1717,1542,1102,1429,12160,48.5,12931,51.5,291,1.2,1883,7.5,21811,86.9,163,0.6,943,3.8,4119,16.4,7678,30.6,21546,85.9,No Data
7,2013-14,20195,1161,1265,1367,1342,1358,1300,1292,1343,1347,1315,2135,1913,1515,1542,9507,47.1,10688,52.9,230,1.1,5501,27.2,14093,69.8,177,0.9,194,1,4450,22,3478,17.2,18596,92.1,No Data
8,2013-14,30453,1975,2262,2462,2296,2249,2042,2139,2113,2142,2242,2489,2163,1758,2121,14993,49.2,15460,50.8,1467,4.8,7443,24.4,19355,63.6,333,1.1,1855,6.1,6671,21.9,3424,11.2,24391,80.1,No Data
9,2013-14,36813,1898,3060,3192,3132,3023,2781,2638,2807,2880,2921,2382,2360,2027,1712,18064,49.1,18749,50.9,484,1.3,11216,30.5,24525,66.6,271,0.7,317,0.9,7347,20,8435,22.9,33772,91.7,No Data
10,2013-14,57339,2210,4456,4778,4550,4270,4113,4013,3714,3673,4005,4932,4639,3845,4141,28119,49,29220,51,4323,7.5,10217,17.8,38804,67.7,667,1.2,3328,5.8,10895,19,11724,20.4,47430,82.7,No Data
11,2013-14,39954,1952,3159,3417,3285,3280,3163,3065,2993,3159,3069,3087,2722,1837,1766,18966,47.5,20988,52.5,2894,7.2,16908,42.3,16536,41.4,643,1.6,2973,7.4,7484,18.7,3739,9.4,30229,75.7,No Data
