DISTRICT,SCHOOL,BOROUGH,ADDRESS,NUMBER OF SEATS,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Opening Year
2,PRE-K CENTER @ 606 WEST 57TH STREET,Manhattan,606 WEST 57TH STREET,72,10019,40.770531,-73.991945,4,6,135,1027168,1011040031,Clinton,09/19/2019 12:00:00 AM
2,PRE-K CENTER @ 355 EAST 76 STREET,Manhattan,355 EAST 76 STREET,180,10021,40.77086,-73.955204,8,5,134,1045173,1014510017,Lenox Hill-Roosevelt Island,09/19/2019 12:00:00 AM
5,TEACHER'S COLLEGE COMMUNITY SCHOOL ANNEX,Manhattan,223-233 WEST 132 STREET,245,10027,40.813781,-73.946024,10,9,226,1058776,1019380020,Central Harlem North-Polo Grounds,09/19/2019 12:00:00 AM
10,P.S. 46 ADDITION,Bronx,279 EAST 196 STREET,500,10458,40.866827,-73.890725,7,15,40501,2094729,2032950001,Bedford Park-Fordham North,09/19/2019 12:00:00 AM
21,P.S. 101 ADDITION,Brooklyn,2360 BENSON AVENUE,456,11214,40.597863,-73.991693,11,47,302,3185973,3068750032,Bensonhurst East,09/19/2019 12:00:00 AM
27,P.S. 66 ADDITION,Queens,85-11 102ND STREET,124,11418,40.697836,-73.846558,9,32,24,4191497,4091830001,Richmond Hill,09/19/2019 12:00:00 AM
28,P.S. 144 ADDITION,Queens,93-02 69TH AVENUE,590,11375,40.714978,-73.853372,6,29,729,4076870,4032120001,Forest Hills,09/19/2019 12:00:00 AM
28,P.S. 303 ADDITION,Queens,108-55 69TH AVENUE,484,11375,40.725098,-73.845091,6,29,739,4052265,4022180021,Forest Hills,09/19/2019 12:00:00 AM
30,P.S. 398,Queens,69-01 34TH AVENUE,476,11377,40.752493,-73.896922,3,25,291,4028492,4012420032,Jackson Heights,09/19/2019 12:00:00 AM
31,3K CENTER @ 1535 RICHMOND AVENUE,Staten Island,1535 RICHMOND AVENUE,225,10314,40.610567,-74.160045,2,50,29104,5151294,5015480100,New Springville-Bloomfield-Travis,09/19/2019 12:00:00 AM
31,3K CENTER @ 20 EBBITTS STREET,Staten Island,20 EBBITTS STREET,105,10306,40.565319,-74.111823,3,50,12806,5055379,5039830080,Oakwood-Oakwood Beach,09/19/2019 12:00:00 AM
31,3K CENTER @ 104 HOUSMAN AVENUE,Staten Island,104 HOUSMAN AVENUE,75,10303,40.634443,-74.148671,1,49,223,5155172,5011580103,Mariner's Harbor-Arlington-Port Ivory-Graniteville,09/19/2019 12:00:00 AM
31,3K CENTER @ 1 TELEPORT DRIVE,Staten Island,1 TELEPORT DRIVE,60,10314,40.604274,-74.178469,2,50,29103,5146615,5021650170,New Springville-Bloomfield-Travis,09/19/2019 12:00:00 AM
11,P.S. 19 ADDITION,Bronx,4318 KATONAH AVENUE,400,10470,40.899295,-73.8675,12,11,45102,2019463,2033860001,Woodlawn-Wakefield,09/20/2019 12:00:00 AM
15,P.S. 32 ADDITION,Brooklyn,317 HOYT STREET,436,11231,40.680445,-73.991949,6,39,75,3395587,3004370001,Carroll Gardens-Columbia Street-Red Hook,09/20/2019 12:00:00 AM
19,P.S./I.S. @ 3269 ATLANTIC AVENUE,Brooklyn,3269 ATLANTIC AVENUE,1000,11208,40.680655,-73.875152,5,37,1178,3000000,3041420032,Cypress Hills-City Line,09/20/2019 12:00:00 AM
20,P.S. 746,Brooklyn,256 59TH STREET,976,11220,40.643337,-74.021011,7,38,22,3016235,3008610029,Sunset Park West,09/20/2019 12:00:00 AM
20,PK/3K CENTER @ 21 BAY 11TH STREET,Brooklyn,21 BAY 11TH STREET,45,11228,40.609976,-74.008608,11,43,172,3336436,3063620029,Bath Beach,09/20/2019 12:00:00 AM
24,P.S. 128 ADDITION,Queens,69-10 65TH DRIVE,440,11379,40.715344,-73.886215,5,30,659,4070445,4030270037,Middle Village,09/20/2019 12:00:00 AM
24,P.S. 143 ADDITION,Queens,34-74 113TH STREET,980,11368,40.755451,-73.855192,3,21,381,4043827,4017560025,North Corona,09/20/2019 12:00:00 AM
25,P.S. 129 ADDITION,Queens,128-02 7TH AVENUE,548,11356,40.790638,-73.839771,7,19,945,4096774,4039760001,Whitestone,09/20/2019 12:00:00 AM
26,P.S. @ 56-10 241 STREET,Queens,56-10 241 STREET,292,,,,,,,,,,09/20/2019 12:00:00 AM
